scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,26.55,37.0,8.0,45.0,4.0
2023-09-05,25.63,33.0,8.0,45.0,4.0
2023-09-06,30.37,52.0,8.0,45.0,4.0
2023-09-07,40.6,75.0,8.0,63.0,4.0
2023-09-08,38.05,65.0,8.0,63.0,4.0
2023-09-11,38.15,65.0,8.0,63.0,4.0
2023-09-12,33.43,50.0,8.0,63.0,4.0
2023-09-13,37.4,65.0,8.0,63.0,4.0
2023-09-14,41.08,70.0,8.0,73.0,4.0
2023-09-15,47.67,80.0,8.0,88.0,4.0
2023-09-18,26.51,45.0,8.0,38.0,4.0
2023-09-20,15.96,32.0,8.0,10.0,4.0
2023-09-21,13.69,23.0,8.0,10.0,4.0
2023-09-22,18.81,43.0,8.0,10.0,4.0
2023-09-25,14.89,28.0,8.0,10.0,4.0
2023-09-26,14.76,28.0,8.0,10.0,4.0
2023-09-27,14.01,24.0,8.0,10.0,4.0
2023-09-28,20.0,48.0,8.0,10.0,4.0
2023-09-29,18.88,43.0,8.0,10.0,4.0
2023-10-03,16.72,33.0,8.0,10.0,4.0
2023-10-04,15.18,28.0,8.0,10.0,4.0
2023-10-05,12.35,28.0,8.0,10.0,7.0
2023-10-06,16.52,33.0,8.0,10.0,4.0
2023-10-09,0.08,13.0,8.0,10.0,15.0
2023-10-10,1.66,18.0,8.0,10.0,15.0
2023-10-11,17.86,38.0,8.0,10.0,4.0
2023-10-12,14.37,33.0,8.0,10.0,7.0
2023-10-13,12.96,28.0,8.0,10.0,7.0
2023-10-16,12.92,28.0,8.0,10.0,7.0
2023-10-17,17.19,33.0,8.0,10.0,4.0
2023-10-18,3.97,13.0,8.0,10.0,12.0
2023-10-19,21.75,52.0,8.0,10.0,4.0
2023-10-20,16.48,32.0,8.0,10.0,4.0
2023-10-23,2.68,13.0,8.0,10.0,12.0
2023-10-25,2.19,13.0,8.0,10.0,12.0
2023-10-26,2.37,13.0,8.0,10.0,12.0
2023-10-27,5.45,23.0,8.0,10.0,12.0
2023-10-30,2.66,13.0,8.0,10.0,12.0
2023-10-31,5.88,26.0,8.0,10.0,12.0
2023-11-01,6.8,31.0,8.0,10.0,12.0
2023-11-02,9.15,38.0,8.0,10.0,12.0
2023-11-03,2.91,13.0,8.0,10.0,12.0
2023-11-06,6.75,27.0,8.0,10.0,12.0
2023-11-07,1.21,17.0,8.0,10.0,15.0
2023-11-08,4.16,17.0,8.0,10.0,12.0
2023-11-09,0.0,13.0,8.0,10.0,15.0
2023-11-10,0.0,13.0,8.0,10.0,15.0
2023-11-13,1.19,18.0,8.0,10.0,15.0
2023-11-15,5.47,22.0,8.0,10.0,12.0
2023-11-16,2.25,22.0,8.0,10.0,15.0
2023-11-17,31.21,75.0,8.0,28.0,4.0
2023-11-20,25.43,70.0,8.0,10.0,4.0
2023-11-21,24.98,60.0,8.0,18.0,4.0
2023-11-22,24.98,60.0,8.0,18.0,4.0
2023-11-23,31.9,55.0,8.0,50.0,4.0
2023-11-24,31.67,55.0,8.0,50.0,4.0
2023-11-28,23.82,55.0,8.0,18.0,4.0
2023-11-29,33.09,60.0,8.0,50.0,4.0
2023-11-30,26.57,50.0,8.0,35.0,4.0
2023-12-01,25.09,55.0,8.0,35.0,7.0
2023-12-04,25.41,55.0,8.0,25.0,4.0
2023-12-05,24.24,50.0,8.0,25.0,4.0
2023-12-06,20.86,55.0,8.0,18.0,7.0
2023-12-07,19.59,50.0,8.0,18.0,7.0
2023-12-08,23.68,55.0,8.0,18.0,4.0
2023-12-11,32.21,70.0,8.0,35.0,4.0
2023-12-12,24.5,50.0,8.0,25.0,4.0
2023-12-13,22.94,55.0,8.0,25.0,7.0
2023-12-14,26.13,55.0,8.0,25.0,4.0
2023-12-15,19.8,50.0,8.0,18.0,7.0
2023-12-18,18.02,50.0,8.0,10.0,7.0
2023-12-19,22.27,47.0,8.0,18.0,4.0
2023-12-20,18.47,43.0,8.0,10.0,4.0
2023-12-21,16.41,43.0,8.0,0.0,4.0
2023-12-22,2.25,18.0,8.0,0.0,12.0
2023-12-26,26.99,75.0,8.0,10.0,4.0
2023-12-27,22.76,50.0,8.0,18.0,4.0
2023-12-28,24.95,60.0,8.0,18.0,4.0
2023-12-29,20.58,50.0,8.0,10.0,4.0
2024-01-01,20.97,50.0,8.0,10.0,4.0
2024-01-02,24.48,55.0,8.0,18.0,4.0
2024-01-03,25.97,60.0,8.0,18.0,4.0
2024-01-04,23.56,50.0,8.0,18.0,4.0
2024-01-05,23.61,50.0,8.0,18.0,4.0
2024-01-08,21.26,47.0,8.0,10.0,4.0
2024-01-09,21.13,47.0,8.0,10.0,4.0
2024-01-10,20.5,43.0,8.0,10.0,4.0
2024-01-11,19.12,38.0,8.0,10.0,4.0
2024-01-12,22.18,52.0,8.0,10.0,4.0
2024-01-15,22.12,52.0,8.0,10.0,4.0
2024-01-16,2.89,18.0,8.0,0.0,12.0
2024-01-17,2.71,18.0,8.0,0.0,12.0
2024-01-18,4.2,23.0,8.0,0.0,12.0
2024-01-19,2.87,18.0,8.0,0.0,12.0
2024-01-23,0.83,13.0,8.0,0.0,12.0
2024-01-24,2.72,19.0,8.0,0.0,12.0
2024-01-25,10.32,38.0,8.0,10.0,12.0
2024-01-29,6.44,23.0,8.0,10.0,12.0
2024-01-30,4.03,13.0,8.0,10.0,12.0
2024-01-31,5.66,18.0,8.0,10.0,12.0
2024-02-01,8.83,32.0,8.0,10.0,12.0
2024-02-02,5.12,17.0,8.0,10.0,12.0
2024-02-05,6.12,22.0,8.0,10.0,12.0
2024-02-06,22.42,55.0,8.0,10.0,4.0
2024-02-07,25.81,60.0,8.0,18.0,4.0
2024-02-08,24.6,55.0,8.0,18.0,4.0
2024-02-09,7.67,30.0,8.0,10.0,12.0
2024-02-12,2.74,13.0,8.0,10.0,12.0
2024-02-13,5.11,22.0,8.0,10.0,12.0
2024-02-14,7.47,30.0,8.0,10.0,12.0
2024-02-15,36.91,75.0,8.0,48.0,4.0
2024-02-16,40.25,72.0,8.0,65.0,4.0
2024-02-19,35.52,62.0,8.0,55.0,4.0
2024-02-20,34.85,60.0,8.0,55.0,4.0
2024-02-21,35.93,65.0,8.0,55.0,4.0
2024-02-22,29.6,52.0,8.0,55.0,7.0
2024-02-23,31.43,60.0,8.0,55.0,7.0
2024-02-26,35.97,67.0,8.0,55.0,4.0
2024-02-27,33.18,57.0,8.0,55.0,4.0
2024-02-28,33.45,60.0,8.0,55.0,4.0
2024-02-29,33.61,60.0,8.0,55.0,4.0
2024-03-01,31.96,65.0,8.0,55.0,7.0
2024-03-04,30.69,60.0,8.0,55.0,7.0
2024-03-05,23.97,50.0,8.0,28.0,4.0
2024-03-06,15.87,42.0,8.0,18.0,7.0
2024-03-07,24.3,55.0,8.0,38.0,7.0
2024-03-11,14.62,38.0,8.0,18.0,7.0
2024-03-12,0.0,8.0,8.0,8.0,15.0
2024-03-13,0.0,13.0,8.0,0.0,17.0
2024-03-14,0.0,18.0,8.0,0.0,12.0
2024-03-15,0.0,18.0,8.0,0.0,12.0
2024-03-18,0.0,18.0,8.0,0.0,12.0
2024-03-19,0.0,13.0,8.0,0.0,15.0
2024-03-20,20.77,62.0,8.0,10.0,4.0
2024-03-21,13.24,42.0,8.0,10.0,7.0
2024-03-22,0.0,12.0,8.0,10.0,15.0
2024-03-26,0.71,13.0,8.0,10.0,12.0
2024-03-27,0.66,23.0,8.0,0.0,12.0
2024-03-28,0.59,23.0,8.0,0.0,12.0
2024-04-01,5.3,27.0,8.0,10.0,12.0
2024-04-02,27.88,75.0,8.0,20.0,4.0
2024-04-03,28.21,75.0,8.0,20.0,4.0
2024-04-04,21.87,50.0,8.0,20.0,4.0
2024-04-05,20.24,55.0,8.0,20.0,7.0
2024-04-08,28.71,60.0,8.0,38.0,4.0
2024-04-09,25.96,50.0,8.0,38.0,4.0
2024-04-10,27.29,55.0,8.0,38.0,4.0
2024-04-12,22.96,50.0,8.0,38.0,7.0
2024-04-15,31.29,55.0,8.0,55.0,4.0
2024-04-16,42.64,85.0,8.0,70.0,4.0
2024-04-18,42.69,85.0,8.0,70.0,4.0
2024-04-19,35.62,57.0,8.0,70.0,4.0
2024-04-22,40.45,65.0,8.0,80.0,4.0
2024-04-23,39.3,60.0,8.0,80.0,4.0
2024-04-24,40.68,65.0,8.0,80.0,4.0
2024-04-25,36.35,60.0,8.0,80.0,7.0
2024-04-26,42.55,72.0,8.0,80.0,4.0
2024-04-29,39.68,60.0,8.0,80.0,4.0
2024-04-30,36.6,60.0,8.0,80.0,7.0
2024-05-02,36.35,60.0,8.0,80.0,7.0
2024-05-03,39.89,65.0,8.0,90.0,7.0
2024-05-06,35.16,65.0,8.0,73.0,7.0
2024-05-07,39.24,65.0,8.0,90.0,7.0
2024-05-08,40.55,60.0,8.0,100.0,7.0
2024-05-09,39.69,60.0,8.0,98.0,7.0
2024-05-10,39.6,65.0,8.0,80.0,4.0
2024-05-13,31.06,60.0,8.0,63.0,7.0
2024-05-14,34.43,65.0,8.0,70.0,7.0
2024-05-15,31.45,60.0,8.0,63.0,7.0
2024-05-16,35.72,65.0,8.0,63.0,4.0
2024-05-17,39.72,70.0,8.0,73.0,4.0
2024-05-21,24.8,60.0,8.0,35.0,7.0
2024-05-22,19.66,42.0,8.0,20.0,4.0
2024-05-23,47.37,85.0,8.0,88.0,4.0
2024-05-24,48.96,85.0,8.0,95.0,4.0
2024-05-27,39.24,62.0,8.0,80.0,4.0
2024-05-28,39.15,65.0,8.0,78.0,4.0
2024-05-29,45.26,67.0,8.0,100.0,4.0
2024-05-30,45.02,67.0,8.0,100.0,4.0
2024-05-31,40.32,47.0,8.0,100.0,4.0
2024-06-03,42.98,57.0,8.0,100.0,4.0
2024-06-04,42.9,60.0,8.0,100.0,4.0
2024-06-05,40.18,60.0,8.0,100.0,7.0
2024-06-06,43.09,57.0,8.0,100.0,4.0
2024-06-07,43.28,57.0,8.0,100.0,4.0
2024-06-10,42.21,52.0,8.0,100.0,4.0
2024-06-11,39.72,52.0,8.0,100.0,7.0
2024-06-12,41.67,60.0,8.0,100.0,7.0
2024-06-13,41.87,60.0,8.0,100.0,7.0
2024-06-14,43.29,65.0,8.0,100.0,7.0
2024-06-18,39.98,52.0,8.0,100.0,7.0
2024-06-19,42.77,52.0,8.0,100.0,4.0
